ident,name,country_code,airport
LKAD,LAKE AMADEUS,AU,
LBT,LAKE BATHURST,AU,
LKON,LAKE CLARENDON,AU,
LCR,LAKE CORANGAMITE,AU,
LCDI,LAKE CURRIMUNDI,AU,
LAD,LAKE DEANE,AU,
LDAP,LAKE DISAPPOINTMENT,AU,
LKEC,LAKE ECHO,AU,
LEM,LAKE EPSOM,AU,
LEYN,LAKE EYRE NORTH,AU,
LFS,LAKE FINNISS,AU,
LFRO,LAKE FROME,AU,
LGGN,LAKE GEORGE NORTH,AU,
LGGS,LAKE GEORGE SOUTH,AU,
LGEN,LAKE GILLEN,AU,
LGDA,LAKE GININDERRA,AU,
LKH,LAKE HINDMARSH,AU,
LKIM,LAKE ILMA,AU,
LKG,LAKE KING,AU,
LMC,LAKE MANCHESTER,AU,
LME,LAKE MAURICE,AU,
LMWL,LAKE MINIGWAL,AU,
LOOH,LAKE MOOGERAH,AU,
LKNL,LAKE NEALE,AU,
LRID,LAKE RAESIDE,AU,
LRAN,LAKE RASON,AU,
LSPR,LAKE SURPRISE,AU,
LTL,LAKE THROSSELL,AU,
LTRR,LAKE TORRENS,AU,
WITE,LAKE WHITE,AU,
LYEO,LAKE YEO,AU,
LKEE,LAKES ENTRANCE,AU,
LCD,LANCEFIELD,AU,
LANC,LANCELIN TOWNSHIP,AU,
LGH,LANGHAM,AU,
LHCK,LANGHORNE CREEK,AU,
LSDW,LANSDOWNE,AU,
LUY,LATROBE UNIVERSITY,AU,
LAUD,LAUDERDALE,AU,
LVAB,LAVERTON,AU,
TON,LAVERTON BOM TOWER,AU,
LWG,LAWRENCE GORGE,AU,
LAOS,LAYOAK ISLAND,AU,
LPT,LEE PT,AU,
LPD,LEOPOLD,AU,
LIHR,LIGHTHORSE INTERCHANGE M7/M4,AU,
LIY,LILYDALE,AU,
LOWS,LINDENOW SOUTH,AU,
LVE,LINVILLE,AU,
LMGE,LITTLE MULGRAVE,AU,
LRM,LITTLE RIVER MOUTH,AU,
LBET,LOBETHAL,AU,
LSR,LOCH SPORT,AU,
LOGI,LOGIC CENTRE,AU,
LRF,LONG REEF,AU,
LFC,LONGFORD CREEK,AU,
LORN,LORNE TOWNSHIP,AU,
LHD,LOW HEAD,AU,
LWI,LOW ISLETS,AU,
LRP,LOW ROCKY PT,AU,
LWD,LOWOOD,AU,
LNDA,LUCINDA,AU,
LYNR,LYND RIVER,AU,
MACB,MACHANS BEACH,AU,
MZR,MACKENZIE RIVER,AU,
MKV,MACKSVILLE,AU,
MGEW,MAGILL ESTATE WINERY,AU,
MAS,MAGNESITE MINE,AU,
MADO,MANDORAH,AU,
MDU,MANDURAH,AU,
MGL,MANGALORE,AU,
MOP,MANGOPLAH,AU,
MAL,MANILLA,AU,
MBHB,MANLY BOAT HARBOUR,AU,
MTD,MANTON DAM,AU,
MBA,MAREEBA,AU,
MRL,MARIA ISLAND,AU,
MLIT,MARINO LIGHT HOUSE,AU,
MARQ,MARINO'S QUARRY,AU,
MRBR,MAROUBRA BEACH,AU,
MAR,MARRAR,AU,
MARR,MARRAWAH,AU,
MHT,MARTHA PT,AU,
MKN,MARY KATHLEEN,AU,
MVL,MARYSVILLE,AU,
MHD,MASTHEAD ISLAND,AU,
MRH,MAURICE HILL,AU,
MAYD,MAYDENA,AU,
MYF,MAYFIELD,AU,
MAYL,MAYLANDS POLICE ACADEMY,AU,
MGBH,MCGAURAN BEACH,AU,
MVAL,MCLAREN VALE,AU,
MCTY,MELBOURNE CBD,AU,
MCG,MELBOURNE CRICKET GROUND,AU,
MELS,MELTON SOUTH,AU,
MEG,MENANGLE,AU,
MRI,MERION,AU,
MRJ,MERRIJIG,AU,
MIAR,MIAREE POOL BRIDGE,AU,
MHGO,MICHELAGO,AU,
MII,MIDGE ISLAND,AU,
MCRO,MILLS CROSS,AU,
MSTM,MILLSTREAM STN,AU,
MPO,MILPEROO,AU,
MIJ,MINJILANG,AU,
MISB,MISSION BEACH,AU,
MSC,MISSION BEACH,AU,
MITI,MITIAMO,AU,
MFBH,MOFFAT BEACH,AU,
MFH,MOFFAT HEAD,AU,
MBH,MOOLOOLABA,AU,
MVC,MOONEE VALLEY RACECOURSE,AU,
MIE,MOONIE,AU,
MPSC,MOORE PARK SUPA CENTRE,AU,
MORN,MORNINGTON,AU,
MSV,MOSS VALE,AU,
MMA,MOSSMAN,AU,
BAK,MOUNT BARKER,AU,
MBST,MOUNT BENSTEAD,AU,
MBC,MOUNT BLACK,AU,
MBK,MOUNT BLACKWOOD,AU,
MTBL,MOUNT BOHLE,AU,
MBR,MOUNT BOLD RESV,AU,
MTB,MOUNT BOYCE,AU,
MCAR,MOUNT CARNARVON,AU,
MCHR,MOUNT CHRISTIE,AU,
MCOM,MOUNT COMPASS,AU,
MTK,MOUNT COOKE,AU,
MTC,MOUNT COOLUM,AU,
MTBA,MOUNT CORAMBA,AU,
TCR,MOUNT COREE,AU,
MCOO,MOUNT COTTON,AU,
MCOT,MOUNT COTTRELL,AU,
MUE,MOUNT DALE,AU,
MDY,MOUNT DAY,AU,
MELE,MOUNT ELEPHANT,AU,
MEV,MOUNT EVERARD,AU,
MFN,MOUNT FUNNEL,AU,
MGLO,MOUNT GLORIOUS,AU,
MVT,MOUNT GRAVATT,AU,
MJK,MOUNT JACKSON HS,AU,
MTKI,MOUNT KINGSTON,AU,
MLI,MOUNT LION,AU,
MLUY,MOUNT LUCY,AU,
MCD,MOUNT MACEDON,AU,
MTMA,MOUNT MARIA,AU,
MMY,MOUNT MOLLOY,AU,
MOB,MOUNT MOOMBIL,AU,
MGN,MOUNT MORGAN,AU,
MTM,MOUNT MUGGA,AU,
MIY,MOUNT NINDERRY,AU,
OOR,MOUNT OORAMINNA,AU,
MPG,MOUNT PALERANG,AU,
PIPR,MOUNT PIPER,AU,
MPT,MOUNT PLEASANT,AU,
SOV,MOUNT SOMERVILLE RADAR,AU,
MTEW,MOUNT STEWAN,AU,
MUM,MOUNT STROMLO,AU,
MUSD,MOUNT SYDNEY,AU,
MTLR,MOUNT TAYLOR,AU,
MTY,MOUNT TYSON,AU,
MUO,MOUNT UNDOOLYA,AU,
MVO,MOUNT VERNON HS,AU,
MVI,MOUNT VICTORIA,AU,
MTWK,MOUNT WALKER,AU,
MTWG,MOUNT WARNING,AU,
MTWN,MOUNT WELLINGTON,AU,
MWH,MOUNT WHEELER,AU,
MWK,MOUNT WILKIE,AU,
MBKR,MOUTH OF THE BLACK RIVER,AU,
MBHR,MOUTH OF THE BOHLE RIVER,AU,
MMT,MT MARGARET,AU,
MUDI,MUD ISLAND,AU,
MEER,MUDGEERABA,AU,
MUP,MULLALOO PT,AU,
LLN,MULLEN,AU,
MBBY,MULLUMBIMBY,AU,
MWR,MUNDARING WEIR,AU,
MAA,MUNGALLALA,AU,
MUNM,MUNIGANEEN MT,AU,
MHY,MURPHY'S CREEK,AU,
MBD,MURRAY BRIDGE,AU,
MYW,MURRAY DOWNS,AU,
MMM,MURRUMBATEMAN,AU,
MUI,MURRURUNDI,AU,
MUR,MURWILLUMBAH,AU,
MUEE,MUTARNEE,AU,
MRTL,MYRTLE,AU,
NGBM,NAGAMBIE MINE,AU,
NMB,NAMBOUR,AU,
NHS,NAMBUCCA HEADS,AU,
NAA,NARA INLET,AU,
NAMA,NAROOMA,AU,
NRW,NARRE WARREN,AU,
NOOG,NARROOGAL,AU,
NKBO,NECKARBOO,AU,
NEM,NEMINGHA,AU,
NPBR,NEPEAN BRIDGE,AU,
NEN,NERANG,AU,
NGI,NGULUPI,AU,
NTT,NIMBIN TV TOWERS,AU,
NIM,NIMROD PASSAGE,AU,
NDI,NINDIGULLY,AU,
NARL,NOARLUNGA,AU,
NBB,NOBBYS HEAD,AU,
NDY,NODDY REEF,AU,
NNDO,NOONDOO,AU,
NOSA,NOOSA HEADS,AU,
NEQ,NORTH EAST QUARRY,AU,
NOHD,NORTH HEAD,AU,
NORT,NORTH LAKE,AU,
NSTA,NORTH STAR,AU,
NBRR,NORTHERN TIP BERSERKERS,AU,
NRWN,NORWIN,AU,
NUDG,NUDGEE TIP,AU,
NUA,NUNAMARA,AU,
NUN,NUNDLE,AU,
NUPA,NURIOOTPA,AU,
NCHU,NYCHUM,AU,
OAKF,OAKFORD,AU,
OAT,OATLANDS,AU,
OBC,OBSERVATION CITY,AU,
OBSH,OBSERVATORY HILL,AU,
OBY,OLD BOMBANDY,AU,
OLCO,OLD CORK,AU,
ONPK,ORAN PARK,AU,
ORKS,ORCHARD ROCKS,AU,
ORF,ORFORD NESS,AU,
OHB,OUTER HARBOR,AU,
OVL,OVERLANDER,AU,
OWS,OWEN SPRINGS,AU,
OFD,OXENFORD,AU,
PCVE,PALM COVE,AU,
PFRM,PALM FARM,AU,
PLW,PALM MEADOWS,AU,
PLU,PALUMA DAM,AU,
SFG,PARADISE GARDENS,AU,
PKR,PARK RIDGE WATER TOWER,AU,
PRKH,PARKHURST,AU,
PRT,PARRAMATTA,AU,
PAA,PATONGA,AU,
PECO,PEACOCK,AU,
PDNE,PEAK DOWNS MINE,AU,
PEAR,PEARSON ISLES,AU,
PCCK,PELICAN CREEK,AU,
PENH,PENNANT HILLS STROBE,AU,
PENT,PENRITH,AU,
PVS,PERCIVAL LAKES,AU,
PEG,PEREGIAN,AU,
PCKD,PERSEVERENCE CREEK DAM,AU,
PCTY,PERTH CITY,AU,
PTI,PETRIE,AU,
PIB,PICKERING BROOK GOLF COURSE,AU,
PIL,PICKET HILL,AU,
PCA,PICNIC BAY,AU,
PNP,PICNIC PT,AU,
PIC,PICTON,AU,
PIG,PIGGERY,AU,
PIPT,PINE PT,AU,
PING,PINGARING,AU,
PII,PIRATE POINT,AU,
PWH,PITTSWORTH,AU,
PTOM,POINT ORMOND,AU,
PSS,POINT STEPHENS LIGHTHOUSE,AU,
PRP,PORPOISE PT,AU,
PAL,PORT ADELAIDE,AU,
PMA,PORT ALMA,AU,
POMP,PORT CAMPBELL,AU,
PDV,PORT DAVEY,AU,
PTD,PORT DOUGLAS,AU,
PJUL,PORT JULIA,AU,
PMG,PORT MUSGRAVE,AU,
PNE,PORT NEILL,AU,
PNL,PORT NOARLUNGA,AU,
PIPS,PORT PHILLIP HEADS,AU,
PVCT,PORT VINCENT,AU,
POWR,POWERHOUSE,AU,
PWLC,POWERLINE CROSSING,AU,
PRES,PRESCOTT LAKES,AU,
PRS,PRIMROSE SANDS,AU,
PCB,PRINCESS CHARLOTTE BAY,AU,
PSP,PROSPECT RESV,AU,
PSF,PROSSERS SUGARLOAF,AU,
PSTO,PROSTON,AU,
DNGR,PT DANGER,AU,
FAW,PT FAWCETT,AU,
PMPH,PUMPHREY'S BRIDGE,AU,
PBF,PURLINGBROOKE FALLS,AU,
PWDA,PURRAWUNDA,AU,
PYA,PYALONG,AU,
PYK,PYKES CREEK RESV,AU,
QAI,QUAIL ISLAND,AU,
QBN,QUEANBEYAN,AU,
Q1,QUEBEC ONE,AU,
QSAC,QUEENSLAND SAC,AU,
QLW,QUINALOW,AU,
QNDI,QUIRINDI,AU,
RIL,RABBIT ISLAND,AU,
RBY,RABY BAY,AU,
RDRS,RADAR SITE,AU,
RADT,RADIO TELESCOPE,AU,
RAIS,RAINE ISLAND,AU,
RNN,RANNES,AU,
RAPD,RAPID BAY,AU,
RTY,RATHDOWNEY,AU,
RKI,RATTLESNAKE ISLAND,AU,
RCS,RED CLIFFS,AU,
RDHI,RED HILL,AU,
RER,RED ROCK,AU,
REDC,REDCLIFFE BRIDGE,AU,
RDV,REDCLIFFE VALE HS,AU,
REDF,REDFERN RAILWAY STATION,AU,
REDB,REDLAND BAY,AU,
REDL,REDLYNCH,AU,
RENR,RENNER SPRINGS,AU,
RESC,RESEARCH CENTRE,AU,
RCH,RICHMOND,AU,
RIT,RING TANK,AU,
RMH,RIVER MOUTH,AU,
RIV,RIVERINA CAMPUS,AU,
